depth,alpha,beta,base_len,mean_val_filtered,mean_val_other,std_val_filtered,std_val_other,max_val_filtered,min_val_other
10,0.5,1,96,0.6274270717,0.2937012673,0.1242433088,0.0972579847,0.9409292176,0.0605350975
10,0.5,10,113,0.5975648936,0.295087739,0.1054448204,0.1062045939,0.913900573,0.0510211092
10,0.7,1,110,0.6439143594,0.3086789573,0.1438526113,0.1016626685,0.9760675167,0.0904388705
10,0.7,10,98,0.6590343454,0.3155268129,0.1487052692,0.0934080378,0.9676566982,0.0562033122
10,1,1,199,0.7063032343,0.436369225,0.2027571134,0,0.9756028371,0.436369225
10,1,10,146,0.7568168617,0.39733109,0.2238383974,0.0324165945,0.9786705052,0.3450207197
100,0,1,99,0.7179106279,0.1435893231,0.1138875852,0.0449394563,0.9331299389,0.0735495233
100,0,10,97,0.7323732179,0.1741120373,0.112740535,0.0630016203,0.9618762091,0.0802166198
100,0.3,1,99,0.7475282274,0.1362446563,0.1156625763,0.0431850173,0.9927200013,0.0741347718
100,0.3,10,97,0.7510880264,0.1535199258,0.1149685415,0.0648514317,0.9699896963,0.0693580008
100,0.5,1,99,0.7802580916,0.1647288707,0.1185362221,0.0401514708,0.9795184477,0.0895315893
100,0.5,10,99,0.7754102253,0.1339185592,0.1158517988,0.039768694,0.9919843761,0.0821170612
100,0.7,1,99,0.8153545234,0.2641226257,0.1013104761,0.0338529906,0.9892874295,0.2106674969
100,0.7,10,99,0.8172420962,0.1820060235,0.1188858828,0.0410002146,0.9843179774,0.1294257072
100,1,1,199,0.7059232154,0.436402547,0.2034038248,0,0.9752041143,0.436402547
100,1,10,146,0.7575582026,0.3979894994,0.2228394304,0.0321856405,0.9801256959,0.3453409193
